source_language,source_text,translated_text
"deu_Latn","adventskalender 2025","2025年圣诞倒数日历"
"deu_Latn","adventskalender 2025 frauen","2025年女士圣诞倒数日历"
"deu_Latn","adventskalender","圣诞倒数日历"
"deu_Latn","adventskalender zum befüllen","可填充圣诞倒数日历"
"deu_Latn","adventskalender 2025 männer","2025年男士圣诞倒数日历"
"deu_Latn","adventskalender 2025 kinder","2025年儿童圣诞倒数日历"
"deu_Latn","adventskalender männer","男士圣诞倒数日历"
"deu_Latn","adventskalender kinder","儿童圣诞倒数日历"
"deu_Latn","adventskalender füllung","圣诞倒数日历填充物"
"deu_Latn","lego adventskalender 2025","2025年乐高圣诞倒数日历"
"deu_Latn","adventskalender 2025 mädchen","2025年女孩圣诞倒数日历"
"deu_Latn","tee adventskalender 2025","2025年茶叶圣诞倒数日历"
"deu_Latn","rituals adventskalender 2025","2025年Rituals圣诞倒数日历"
"deu_Latn","adventskalender frauen","女士圣诞倒数日历"
"deu_Latn","adventskalender tüten","纸袋圣诞倒数日历"
"deu_Latn","adventskalender mädchen","女孩圣诞倒数日历"
"deu_Latn","playmobil adventskalender","Playmobil圣诞倒数日历"
"deu_Latn","lindt adventskalender 2025","2025年瑞士莲圣诞倒数日历"
"deu_Latn","adventskalender schokolade","巧克力圣诞倒数日历"
"deu_Latn","adventskalender lego","乐高圣诞倒数日历"
"deu_Latn","harry potter adventskalender","《哈利·波特》圣诞倒数日历"
"deu_Latn","adventskalender paare","情侣圣诞倒数日历"
"deu_Latn","bosch adventskalender 2025","2025年博世圣诞倒数日历"
"deu_Latn","pokemon adventskalender 2025","2025年宝可梦圣诞倒数日历"
"deu_Latn","lego adventskalender","乐高圣诞倒数日历"
"deu_Latn","kleinigkeiten für adventskalender","小物圣诞倒数日历"
"deu_Latn","wera adventskalender 2025","2025年Wera圣诞倒数日历"
"deu_Latn","red bull adventskalender 2025","2025年红牛圣诞倒数日历"
"deu_Latn","adventskalender teenager mädchen","青少年女孩圣诞倒数日历"
"deu_Latn","weihnachtskalender 2025","2025年圣诞倒数日历"
"deu_Latn","makita adventskalender 2025","2025年牧田圣诞倒数日历"
"deu_Latn","2025 adventskalender","2025年圣诞倒数日历"
"deu_Latn","adventskalender tee","茶叶圣诞倒数日历"
"deu_Latn","essence adventskalender 2025","2025年essence圣诞倒数日历"
"deu_Latn","exit adventskalender 2025","2025年EXIT圣诞倒数日历"
"deu_Latn","minecraft adventskalender 2025","2025年《我的世界》圣诞倒数日历"
"deu_Latn","pringles adventskalender 2025","2025年Pringles圣诞倒数日历"
"deu_Latn","amorelie adventskalender 2025","2025年Amorelie圣诞倒数日历"
"deu_Latn","adventskalender selber befüllen","可自行填充圣诞倒数日历"
