source_language,source_text,translated_text
"fra_Latn","pokémon advent calendar","宝可梦圣诞倒数日历"
"fra_Latn","pokémon advent calendar 2025","2025年宝可梦圣诞倒数日历"
"fra_Latn","pokémon card advent calendar","宝可梦卡牌圣诞倒数日历"
"fra_Latn","pokémon advent calendar￼","宝可梦圣诞倒数日历"
"fra_Latn","pokémon card advent calendar 2025","2025年宝可梦卡牌圣诞倒数日历"
"fra_Latn","pokémon holiday advent calendar","宝可梦节日主题圣诞倒数日历"
"fra_Latn","pokémon adventskalender","宝可梦圣诞倒数日历"
"fra_Latn","pokémon adventskalender 2025","2025年宝可梦圣诞倒数日历"
"fra_Latn","mon chéri advent calendar","Mon Chéri圣诞倒数日历"
"fra_Latn","l’oréal adventskalender","欧莱雅圣诞倒数日历"
"fra_Latn","pokémon karten adventskalender","宝可梦卡牌圣诞倒数日历"
"fra_Latn","adventskalender pokémon","宝可梦圣诞倒数日历"
"fra_Latn","l'oréal adventskalender","欧莱雅圣诞倒数日历"
"fra_Latn","l'oréal adventskalender 2025","2025年欧莱雅圣诞倒数日历"
