source_language,source_text,translated_text
"eng_Latn","advent calendar 2025","2025年圣诞倒数日历"
"eng_Latn","advent calendar","圣诞倒数日历"
"eng_Latn","lego advent calendar 2025","2025年乐高圣诞倒数日历"
"eng_Latn","advent calendar for adults","成人圣诞倒数日历"
"eng_Latn","advent calendar for boys","男孩圣诞倒数日历"
"eng_Latn","advent calendar for girls","女孩圣诞倒数日历"
"eng_Latn","lego advent calendar","乐高圣诞倒数日历"
"eng_Latn","chocolate advent calendar 2025","2025年巧克力圣诞倒数日历"
"eng_Latn","kids advent calendar 2025","2025年儿童圣诞倒数日历"
"eng_Latn","advent calendars","圣诞倒数日历"
"eng_Latn","beauty advent calendar 2025","2025年美妆圣诞倒数日历"
"eng_Latn","buffalo trace advent calendar","Buffalo Trace圣诞倒数日历"
"eng_Latn","advent calendars christmas","圣诞倒数日历"
"eng_Latn","advent calendar for teen girls","青少年女孩圣诞倒数日历"
"eng_Latn","needoh advent calendar 2025","2025年NeeDoh圣诞倒数日历"
"eng_Latn","squishmallow advent calendar 2025","2025年Squishmallows圣诞倒数日历"
"eng_Latn","pokemon advent calendar 2025","2025年宝可梦圣诞倒数日历"
"eng_Latn","whiskey advent calendar 2025","2025年威士忌圣诞倒数日历"
"eng_Latn","fishing advent calendar 2025","2025年垂钓圣诞倒数日历"
"eng_Latn","adult advent calendar 2025","2025年成人圣诞倒数日历"
"eng_Latn","makeup advent calendar 2025","2025年彩妆圣诞倒数日历"
"eng_Latn","harry potter advent calendar","《哈利·波特》圣诞倒数日历"
"eng_Latn","needoh advent calendar","NeeDoh圣诞倒数日历"
"eng_Latn","boys advent calendar 2025","2025年男孩圣诞倒数日历"
"eng_Latn","toddler advent calendar 2025","2025年幼儿圣诞倒数日历"
"eng_Latn","harry potter advent calendar 2025","2025年《哈利·波特》圣诞倒数日历"
"eng_Latn","red bull advent calendar","红牛圣诞倒数日历"
"eng_Latn","advent calendar 2025 kids","2025年儿童圣诞倒数日历"
"eng_Latn","hot wheels advent calendar 2025","2025年风火轮圣诞倒数日历"
"eng_Latn","bluey advent calendar 2025","2025年Bluey圣诞倒数日历"
"eng_Latn","sea glass advent calendar","海洋玻璃圣诞倒数日历"
"eng_Latn","girls advent calendar 2025","2025年女孩圣诞倒数日历"
"eng_Latn","candy advent calendar 2025","2025年糖果圣诞倒数日历"
"eng_Latn","advent calendar 2025 adult","2025年成人圣诞倒数日历"
"eng_Latn","dog advent calendar 2025","2025年狗狗圣诞倒数日历"
"eng_Latn","advent calendar for men","男士圣诞倒数日历"
"eng_Latn","wicked advent calendar 2025","2025年Wicked圣诞倒数日历"
"eng_Latn","empty advent calendars to fill","空白可填充圣诞倒数日历"
"eng_Latn","golf advent calendar 2025","2025年高尔夫圣诞倒数日历"
"eng_Latn","disney advent calendar","迪士尼圣诞倒数日历"
"eng_Latn","sephora advent calendar 2025","2025年丝芙兰圣诞倒数日历"
"eng_Latn","nee doh advent calendar 2025","2025年NeeDoh圣诞倒数日历"
"eng_Latn","beauty advent calendar","美妆圣诞倒数日历"
"eng_Latn","elf advent calendar 2025","2025年e.l.f.圣诞倒数日历"
"eng_Latn","minecraft advent calendar 2025","2025年《我的世界》圣诞倒数日历"
"eng_Latn","book advent calendar","书籍圣诞倒数日历"
"eng_Latn","advent calendar 2025 chocolate","2025年巧克力圣诞倒数日历"
"eng_Latn","diy advent calendar","DIY圣诞倒数日历"
"eng_Latn","advent calendar for kids","儿童圣诞倒数日历"
"eng_Latn","little people advent calendar 2025","2025年Little People圣诞倒数日历"
"eng_Latn","tea advent calendar 2025","2025年茶叶圣诞倒数日历"
"eng_Latn","buffalo trace advent calendar 2025","2025年Buffalo Trace圣诞倒数日历"
"eng_Latn","nee doh advent calendar","NeeDoh圣诞倒数日历"
"eng_Latn","pokemon advent calendar","宝可梦圣诞倒数日历"
"eng_Latn","advent calendars for kids","儿童圣诞倒数日历"
"eng_Latn","squishmallow advent calendar","Squishmallows圣诞倒数日历"
"eng_Latn","minecraft advent calendar","《我的世界》圣诞倒数日历"
"eng_Latn","mens advent calendar 2025","2025年男士圣诞倒数日历"
"eng_Latn","chocolate advent calendar","巧克力圣诞倒数日历"
"eng_Latn","christmas advent calendars for kids","儿童圣诞倒数日历"
"eng_Latn","teen advent calendar 2025","2025年青少年圣诞倒数日历"
"eng_Latn","advent calendars for adults","成人圣诞倒数日历"
"eng_Latn","funko pop advent calendar 2025","2025年Funko Pop圣诞倒数日历"
"eng_Latn","teen girl advent calendar 2025","2025年青少年女孩圣诞倒数日历"
"eng_Latn","amazon advent calendar 2025","2025年亚马逊圣诞倒数日历"
"eng_Latn","amazon advent calendar","亚马逊圣诞倒数日历"
"eng_Latn","mini brands advent calendar","Mini Brands圣诞倒数日历"
"eng_Latn","kids advent calendar","儿童圣诞倒数日历"
"eng_Latn","stitch advent calendar 2025","2025年史迪奇圣诞倒数日历"
"eng_Latn","advent calendar for women","女士圣诞倒数日历"
"eng_Latn","puzzle advent calendar 2025","2025年拼图圣诞倒数日历"
"eng_Latn","advent calendars 2025","2025年圣诞倒数日历"
"eng_Latn","cat advent calendar 2025","2025年猫咪圣诞倒数日历"
"eng_Latn","lindt advent calendar 2025","2025年瑞士莲圣诞倒数日历"
"eng_Latn","nativity advent calendar","马槽圣诞倒数日历"
"eng_Latn","makeup advent calendar","彩妆圣诞倒数日历"
"eng_Latn","barbie advent calendar 2025","2025年芭比圣诞倒数日历"
"eng_Latn","fishing advent calendar","垂钓圣诞倒数日历"
"eng_Latn","advent calendar for teen boys","青少年男孩圣诞倒数日历"
"eng_Latn","stranger things advent calendar","《怪奇物语》圣诞倒数日历"
"eng_Latn","ulta advent calendar 2025","2025年ULTA圣诞倒数日历"
"eng_Latn","lego flower advent calendar","乐高花卉圣诞倒数日历"
"eng_Latn","advent calendar beauty","美妆圣诞倒数日历"
