source_language,source_text,translated_text
"eng_Latn","advent calendar 2025","2025年圣诞倒数日历"
"eng_Latn","advent calendar","降临节日历"
"eng_Latn","lego advent calendar 2025","乐高2025年圣诞倒数日历"
"eng_Latn","advent calendar for adults","成人用圣诞倒数日历"
"eng_Latn","advent calendar for boys","男孩用的圣诞倒数日历"
"eng_Latn","advent calendar for girls","女孩的圣诞倒数日历"
"eng_Latn","lego advent calendar","乐高圣诞倒数日历"
"eng_Latn","chocolate advent calendar 2025","2025年巧克力降临日历"
"eng_Latn","kids advent calendar 2025","2025年儿童圣诞倒数日历"
"eng_Latn","advent calendars","圣诞倒数日历"
"eng_Latn","beauty advent calendar 2025","2025年美丽日历"
"eng_Latn","buffalo trace advent calendar","水牛足迹圣诞倒数日历"
"eng_Latn","advent calendars christmas","圣诞倒数日历"
"eng_Latn","advent calendar for teen girls","少女款圣诞倒数日历"
"eng_Latn","needoh advent calendar 2025","needoh 2025年倒数日历"
"eng_Latn","squishmallow advent calendar 2025","2025年软糯球状物降临日历"
"eng_Latn","pokemon advent calendar 2025","2025年宝可梦倒数日历"
"eng_Latn","whiskey advent calendar 2025","2025年威士忌倒数日历"
"eng_Latn","fishing advent calendar 2025","2025年钓鱼日历"
"eng_Latn","adult advent calendar 2025","2025年成人历险日历"
"eng_Latn","makeup advent calendar 2025","2025年彩妆日历"
"eng_Latn","harry potter advent calendar","哈利·波特主题的倒数日历"
"eng_Latn","needoh advent calendar","needoh 圣诞倒数日历"
"eng_Latn","boys advent calendar 2025","2025年男孩款圣诞倒数日历"
"eng_Latn","toddler advent calendar 2025","2025年幼儿圣诞倒数日历"
"eng_Latn","harry potter advent calendar 2025","2025年哈利·波特主题的圣诞倒数日历"
"eng_Latn","red bull advent calendar","红牛圣诞倒数日历"
"eng_Latn","advent calendar 2025 kids","2025年儿童降临日历"
"eng_Latn","hot wheels advent calendar 2025","2025年风火轮冒险日历"
"eng_Latn","bluey advent calendar 2025","2025年Bluey倒数日历"
"eng_Latn","sea glass advent calendar","海玻璃圣诞倒数日历"
"eng_Latn","girls advent calendar 2025","2025年女孩冒险日历"
"eng_Latn","candy advent calendar 2025","2025年糖果降临日历"
"eng_Latn","advent calendar 2025 adult","2025年成人款圣诞倒数日历"
"eng_Latn","dog advent calendar 2025","2025年狗狗主题日历"
"eng_Latn","advent calendar for men","男士圣诞倒数日历"
"eng_Latn","wicked advent calendar 2025","2025年邪恶降临日历"
"eng_Latn","empty advent calendars to fill","空空的待填满的圣诞日历"
"eng_Latn","golf advent calendar 2025","2025年高尔夫球历"
"eng_Latn","disney advent calendar","迪士尼圣诞倒数日历"
"eng_Latn","sephora advent calendar 2025","丝芙兰2025年圣诞倒数日历"
"eng_Latn","nee doh advent calendar 2025","2025年nee doh圣诞倒数日历"
"eng_Latn","beauty advent calendar","美妆日历"
